OBJECTID,class,classid,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,EVI,GNDVI,NDMI,NDVI,NDWI,SAVI,B4_asm,B4_contrast,B4_corr,B4_diss,B4_ent,B4_idm,B4_var,B8_asm,B8_contrast,B8_corr,B8_diss,B8_ent,B8_idm,B8_var,B3_asm,B3_contrast,B3_corr,B3_diss,B3_ent,B3_idm,B3_var,elevation,slope,aspect,B7_asm,B7_contrast,B7_corr,B7_diss,B7_ent,B7_idm,B7_var
2455,Maize fields,1,3488.0,2838.0,1478.0,1734.0,1790.0,2207.0,3143.0,3435.0,3420.0,3635.0,0.029940119,0.3321447949771335,0.3237582,0.00015805279,0.32538202,0.3237582,0.2454760031471283,0.008060031,591906606.282986,0.635895615,16641.850694444445,4.843231627396251,0.0421010499642949,825635211.7997437,0.008471454,2707031072.2621527,0.4251073931902719,36751.83767361112,4.817960636438336,0.0351563401288766,2370149841.044098,0.008206214,220531697.99262157,0.6254867760985817,9665.063802083332,4.829994441656394,0.03862947,297544925.9390869,41,1.6952627,270.0,0.0184039834104938,1451645996.231771,0.3907162543050914,21668.713541666668,4.198426408440517,0.3750000139378151,1234864653.054016
1565,Maize fields,1,3030.0,2424.5,1439.5,1672.0,1675.0,2033.0,3082.5,3359.0,3022.5,3523.0,0.01446652,0.2683339853124175,0.28534088,0.010045808,0.27953058,0.28534088,0.2011397317882392,0.007378472,215689000.7447917,0.6857526718794755,11988.381076388889,4.910921781747808,6.12161491071421e-07,342663820.32603455,0.007378472,8187031550.971355,0.4168302095226087,65660.32291666666,4.910921781747808,9.466857172991713e-08,6987201453.705078,0.007548768,127010498.66666669,0.6724782712725802,8728.163194444445,4.895277834964338,4.3099701206009137e-07,193563350.3171692,11,0.7058702,28.844242,0.0147207754629629,3228570498.771267,0.3847936398427659,35036.29036458333,4.342926175455633,0.3750000062052935,2603080710.761261
162,Mixed crop fields,3,3315.0,2536.0,1443.0,1613.0,1634.0,2017.0,2858.5,3062.5,3145.0,3320.0,0.0270141,0.3334008397383174,0.3189292,-0.014887081,0.32764503,0.3189292,0.239085975478965,0.007474923,213672518.7226563,0.6761939165351838,11095.687934027776,4.901294737573364,0.006945353,330514228.6893234,0.007535958,4718025258.151042,0.7171580194661441,47391.3949652778,4.895879525225241,1.6096797494702468e-07,8644446375.332153,0.007596993,94316756.65060765,0.6936138765090893,7521.718315972223,4.890464312877116,0.006945346,153818538.92169952,5,1.4006406,77.25066,0.0147207754629629,4691622736.191406,0.6710777395045386,36759.49956597222,4.3429261754556325,0.3750000316281027,7288933747.782959
1732,Trees,6,2411.0,1644.0,1277.5,1481.5,1282.5,1821.0,3441.0,4040.0,4256.0,4323.5,-0.1954096,0.6053609131116325,0.48375914,0.27341676,0.535387,0.48375914,0.4219570784865859,0.00804044,167621150.53211802,0.6939837864402596,6463.219618055555,4.854062052092502,0.0282133635336703,258612327.80890656,0.007621106,2571403263.321181,0.3258717233937874,38231.51996527778,4.888057551833505,0.0173615685077079,1920026775.1097107,0.007760884,82910004.43055555,0.5218933266274255,6234.244791666664,4.875121211224097,0.028213395577632,86634422.12703705,32,1.5454433,180.0,0.0192215530960648,918034706.265625,0.5697748515983662,20685.455729166664,4.190399093017793,0.3793402812006727,1080123629.9241638
1958,Maize fields,1,3485.5,2746.5,1508.0,1740.5,1837.0,2316.5,2940.0,3172.0,3287.0,3484.0,0.050910506,0.2700373044986056,0.30637276,-0.027338874,0.28455335,0.30637276,0.2141662443924005,0.007487733,146617839.32421875,0.5661856718169865,9303.135850694443,4.900693047312462,0.00781288,170719877.53258514,0.007426698,1174551099.3138022,0.6425097626384626,24803.86067708333,4.906108259660586,2.764070431738192e-07,1715736881.5245056,0.00746362,25640062.68706597,0.486999806,3897.147135416667,4.903099808356073,0.0112872964500247,25436434.03482056,20,2.3852072,58.790497,0.0147207754629629,920407209.3611112,0.5443960992630227,17073.342013888887,4.342926175455633,0.3750000174514729,1040475286.0014954
2572,Water,0,1527.0,1393.0,1598.0,1844.0,1924.0,1941.0,1825.0,1734.0,1990.0,1665.0,0.019990088,0.039786676,0.07835616,0.052706048,0.041336853,0.07835616,0.029534981,0.008018211,7759308098.064236,0.8386157888220644,50372.03645833333,4.847744304353023,0.034722359,25324330360.527145,0.008018211,13983931688.4987,0.8693181192522534,78411.31033,4.847744304353022,0.0347223060275245,55739422298.77168,0.008024616,3268881917.084202,0.8295062476264876,32856.61979166666,4.847443459222571,0.035156622,10133060122.578651,56,1.8543341,180.0,0.0196367428626543,17607102687.549915,0.8212984075476722,66626.98914930555,4.116596532957748,0.4375000095966174,50555444404.7132
3251,Bareland,7,5568.0,5541.0,2294.0,2886.0,3608.0,4017.0,4118.0,4259.0,4220.0,4328.0,0.16921136,0.084635417,0.18972747,-0.13780634,0.07952797,0.18972747,0.073170732,0.008485771,322488154.3055556,0.6132771632223082,12933.274305555557,4.804121760437575,0.046441167656493,422603016.5509338,0.009061083,432888191.1215277,0.6216905436695744,15317.17013888889,4.771692464200409,0.0460070083239191,578487484.1643066,0.009029059,165155471.65972218,0.5757586211898255,9246.526041666666,4.772822103820825,0.061198172,197787243.64601132,124,0.0,0.0,0.0184039834104938,411281295.4913195,0.5425170024845245,12390.327256944443,4.1984264084405165,0.3750001195481272,459460007.9193115
3018,Trees,6,2528.75,1716.5,1300.0,1424.571428571429,1324.0,1743.5,2828.0,3177.714285714286,3302.222222222222,3443.6666666666665,-0.10614932,0.4347150997129111,0.40341407,0.16081756,0.43689466,0.40341407,0.3131001186751537,0.008005401,456497615.2912327,0.6273554728389378,13460.738281249998,4.848345994613927,0.034726934,614093788.5269547,0.008029514,934861724.6419272,0.4841581380067792,22570.383246527777,4.845939233570315,0.031251199,915968800.5704956,0.007981289,181978983.07682288,0.5467755585166961,8778.728732638889,4.8507527556575365,0.0314089258795577,201529261.9450684,83,1.14594,144.02402,0.0184039834104938,346267946.9618056,0.6704103031497999,12338.870659722224,4.1984264084405165,0.3750000158107608,527536831.823822
2233,Maize fields,1,3811.0,2829.5,1561.75,1809.0,1997.5,2457.6666666666665,3051.0,3318.0,3508.5,3655.0,0.077165455,0.247109504256196,0.31393754,-0.045985833,0.24907757,0.31393754,0.1974349372776633,0.008053627,197261709.1532118,0.7979995453493467,10736.728732638892,4.843532472526704,0.0347249016874656,497011369.8315048,0.007981289,219434427.65017363,0.7224355540936616,11626.368923611111,4.850752755657537,0.0312526901750324,402981754.9384461,0.007981289,46771340.44444445,0.7269030014707112,5248.123263888889,4.850752755657535,0.0312578157978535,85917924.95314026,35,0.0,0.0,0.0196367428626543,123294354.6970486,0.7683685211786666,6486.422743055557,4.116596532957746,0.4375038966182005,271980457.66986084
2680,Water,0,3341.0,2874.0,1808.0,2314.0,2798.0,2964.0,3036.0,3163.0,3308.0,3195.0,0.07577879,0.074742406,0.17191564,0.009046419,0.0736464,0.17191564,0.065483268,0.008048729,2672254512.1111107,0.7449473864223012,38304.39062500001,4.845036698178959,0.0386285616878845,5221967719.993439,0.008072841,6239513954.638889,0.7756307448240818,53838.51909722223,4.842629937135349,0.0351563657038805,13855766249.03824,0.008048729,1173795955.494792,0.7262732690825018,24906.441840277777,4.845036698178959,0.03862861,2138545008.522522,67,0.0,0.0,0.0183685679494598,6654818791.590278,0.697375249,50523.73090277777,4.199641552,0.3750000168040796,11158983874.443176
